Location,Minutes,Route
New York,10789,New York -> Boston -> Cleveland -> Philadelphia -> Washington -> Charlotte -> Cincinnati -> Detroit -> Chicago -> St. Louis -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> Atlanta -> Miami
Charlotte,10027,Charlotte -> Washington -> Philadelphia -> New York -> Boston -> Cleveland -> Detroit -> Cincinnati -> St. Louis -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> Atlanta -> Miami
Detroit,9991,Detroit -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Cincinnati -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Portland,10427,Portland -> Seattle -> Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Denver -> Dallas -> St. Louis -> Minneapolis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Seattle,8938,Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Minneapolis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Chicago,9897,Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Albuquerque,10184,Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Denver -> Dallas -> St. Louis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Cincinnati,9974,Cincinnati -> St. Louis -> Dallas -> Denver -> Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Chicago -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Cleveland,10386,Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Cincinnati -> Detroit -> Chicago -> St. Louis -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> Atlanta -> Miami
Washington,9970,Washington -> Philadelphia -> New York -> Boston -> Cleveland -> Detroit -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Cincinnati -> Charlotte -> Atlanta -> Miami
Miami,8795,Miami -> Atlanta -> Charlotte -> Washington -> Philadelphia -> New York -> Boston -> Cleveland -> Detroit -> Cincinnati -> Chicago -> St. Louis -> Dallas -> Denver -> Minneapolis -> Seattle -> Portland -> San Francisco -> Los Angeles -> Phoenix -> Albuquerque -> Las Vegas
San Francisco,10319,San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Dallas -> Denver -> Portland -> Seattle -> Minneapolis -> Chicago -> St. Louis -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Minneapolis,9733,Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Atlanta,0,None
Phoenix,9256,Phoenix -> Albuquerque -> Las Vegas -> Los Angeles -> San Francisco -> Portland -> Seattle -> Minneapolis -> Denver -> Dallas -> St. Louis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Denver,9821,Denver -> Dallas -> Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Chicago -> St. Louis -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Los Angeles,9485,Los Angeles -> Phoenix -> Albuquerque -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Denver -> Dallas -> St. Louis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
St. Louis,9908,St. Louis -> Dallas -> Denver -> Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Dallas,9635,Dallas -> Denver -> Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Chicago -> St. Louis -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Philadelphia,10227,Philadelphia -> New York -> Boston -> Cleveland -> Detroit -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Cincinnati -> Washington -> Charlotte -> Atlanta -> Miami
Las Vegas,8830,Las Vegas -> Albuquerque -> Phoenix -> Los Angeles -> San Francisco -> Portland -> Seattle -> Minneapolis -> Denver -> Dallas -> St. Louis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Boston,9917,Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Cleveland -> Detroit -> Cincinnati -> St. Louis -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> Atlanta -> Miami
